,zip,walkscore,state,county,area_codes,country,latitude,longitude,irs_estimated_population
12199,28629,1,NC,Ashe County,"336, 743",US,36.35,-81.37,233
12200,28630,5,NC,Caldwell County,828,US,35.8,-81.42,16710
12201,28631,0,NC,Ashe County,"276, 336, 743",US,36.56,-81.4,530
12203,28634,0,NC,Iredell County,"336, 704, 743, 980",US,35.95,-80.77,4440
12204,28635,0,NC,Wilkes County,"336, 743",US,36.24,-81.11,2990
12205,28636,0,NC,Alexander County,"704, 828, 980",US,35.9,-81.09,4440
12206,28637,0,NC,Burke County,828,US,35.71,-81.42,1900
12207,28638,18,NC,Caldwell County,828,US,35.84,-81.48,10610
12208,28640,6,NC,Ashe County,"336, 743",US,36.42,-81.46,3920
12210,28642,0,NC,Yadkin County,"336, 743",US,36.23,-80.84,4380
12211,28643,0,NC,Ashe County,"276, 336, 743",US,36.49,-81.5,2630
12212,28644,0,NC,Ashe County,"336, 743",US,36.44,-81.25,1280
12213,28645,1,NC,Caldwell County,"336, 743, 828",US,35.9,-81.53,36740
12216,28649,0,NC,Wilkes County,"336, 743",US,36.33,-81.23,720
12217,28650,0,NC,Catawba County,"704, 828, 980",US,35.57,-81.2,11910
12218,28651,3,NC,Wilkes County,"336, 743",US,36.18,-81.23,5450
12221,28654,0,NC,Wilkes County,"336, 704, 743, 828, 980",US,36.06,-81.16,2990
12222,28655,0,NC,Burke County,"704, 828, 980",US,35.74,-81.69,42500
12224,28657,9,NC,Avery County,"423, 828",US,36.08,-81.92,6990
12225,28658,57,NC,Catawba County,"704, 828, 980",US,35.66,-81.21,23540
12226,28659,0,NC,Wilkes County,"336, 743",US,36.16,-81.14,16370
12227,28660,0,NC,Iredell County,"704, 980",US,35.95,-80.85,1970
12230,28663,0,NC,Alleghany County,"276, 336, 743",US,36.55,-81.3,570
12232,28665,0,NC,Wilkes County,"336, 743, 828",US,36.21,-81.38,2120
12235,28668,3,NC,Alleghany County,"336, 743",US,36.4,-80.98,310
12236,28669,0,NC,Wilkes County,"336, 743",US,36.21,-81,2360
12237,28670,2,NC,Wilkes County,"336, 743",US,36.22,-80.94,2240
12239,28672,3,NC,Ashe County,"336, 743",US,36.48,-81.33,50
12240,28673,0,NC,Catawba County,"704, 828, 980",US,35.57,-80.99,6490
12242,28675,4,NC,Alleghany County,"276, 336, 743",US,36.5,-81.13,5070
12243,28676,0,NC,Surry County,"336, 743",US,36.33,-80.85,3060
12244,28677,2,NC,Iredell County,"704, 828, 980",US,35.78,-80.88,30800
12245,28678,0,NC,Alexander County,"704, 828, 980",US,35.86,-81.04,4340
12246,28679,0,NC,Watauga County,"423, 828",US,36.26,-81.83,1740
12248,28681,0,NC,Alexander County,"336, 704, 743, 828, 980",US,35.92,-81.17,20800
12249,28682,6,NC,Catawba County,"704, 828, 980",US,35.58,-80.97,1210
12250,28683,3,NC,Surry County,"336, 743",US,36.36,-80.94,1510
12251,28684,0,NC,Ashe County,"336, 423, 743, 828",US,36.3,-81.6,1630
12252,28685,0,NC,Wilkes County,"336, 743",US,36.35,-81.03,1420
12255,28689,0,NC,Iredell County,"336, 704, 743, 828, 980",US,36.02,-80.86,1710
12256,28690,3,NC,Burke County,828,US,35.74,-81.55,7570
12258,28692,4,NC,Watauga County,"423, 828",US,36.27,-81.81,3380
12259,28693,0,NC,Ashe County,"336, 743",US,36.46,-81.55,1180
12260,28694,0,NC,Ashe County,"336, 743",US,36.39,-81.49,6760
12261,28697,1,NC,Wilkes County,"336, 743",US,36.14,-81.16,10520
12262,28698,2,NC,Watauga County,"336, 423, 743, 828",US,36.32,-81.74,1740
12264,28701,1,NC,Buncombe County,828,US,35.7,-82.63,3750
12265,28702,0,NC,Graham County,828,US,35.41,-83.61,370
12266,28704,10,NC,Buncombe County,828,US,35.46,-82.58,21480
12267,28705,1,NC,Mitchell County,"423, 828",US,36.01,-82.15,5020
12269,28708,0,NC,Transylvania County,828,US,35.22,-82.87,510
12270,28709,17,NC,Buncombe County,828,US,35.77,-82.45,1780
12272,28711,3,NC,Buncombe County,828,US,35.61,-82.33,11540
12273,28712,0,NC,Transylvania County,"828, 864",US,35.23,-82.73,15140
12274,28713,5,NC,Swain County,828,US,35.42,-83.44,7530
12275,28714,4,NC,Yancey County,"423, 828",US,35.91,-82.29,12930
12276,28715,0,NC,Buncombe County,828,US,35.53,-82.69,24060
12277,28716,0,NC,Haywood County,828,US,35.54,-82.84,15060
12278,28717,0,NC,Jackson County,"828, 864",US,35.1,-83.09,2190
12279,28718,1,NC,Transylvania County,"828, 864",US,35.14,-82.64,520
12280,28719,0,NC,Swain County,"828, 865",US,35.47,-83.31,7760
12282,28721,0,NC,Haywood County,828,US,35.53,-82.91,9180
12283,28722,0,NC,Polk County,"828, 864",US,35.24,-82.2,5620
12284,28723,0,NC,Jackson County,828,US,35.31,-83.17,4920
12287,28726,16,NC,Henderson County,828,US,35.28,-82.41,2930
12290,28729,20,NC,Henderson County,828,US,35.32,-82.6,3380
12291,28730,3,NC,Buncombe County,828,US,35.52,-82.4,8930
12292,28731,3,NC,Henderson County,828,US,35.27,-82.44,8210
12293,28732,9,NC,Henderson County,828,US,35.43,-82.5,17560
12294,28733,0,NC,Graham County,828,US,35.43,-83.81,64
12295,28734,7,NC,Macon County,828,US,35.18,-83.38,23370
12296,28735,0,NC,Henderson County,828,US,35.48,-82.35,280
12297,28736,0,NC,Jackson County,828,US,35.19,-83.08,600
12300,28739,0,NC,Henderson County,828,US,35.26,-82.55,17620
12301,28740,0,NC,Yancey County,"423, 828",US,36.09,-82.27,1860
12302,28741,11,NC,Macon County,"706, 762, 828",US,35.05,-83.19,3180
12303,28742,0,NC,Henderson County,828,US,35.39,-82.64,2890
12304,28743,0,NC,Madison County,"423, 828",US,35.8,-82.88,1600
12306,28745,14,NC,Haywood County,828,US,35.52,-82.97,1260
12307,28746,9,NC,Rutherford County,828,US,35.44,-82.2,2160
12308,28747,0,NC,Transylvania County,828,US,35.13,-82.93,1670
12309,28748,0,NC,Buncombe County,828,US,35.65,-82.68,11060
12312,28751,0,NC,Haywood County,828,US,35.51,-83.09,3550
12313,28752,3,NC,McDowell County,828,US,35.68,-82,24300
12314,28753,41,NC,Madison County,"423, 828",US,35.79,-82.68,9300
12315,28754,0,NC,Madison County,"423, 828",US,35.82,-82.55,6680
12317,28756,0,NC,Polk County,828,US,35.29,-82.16,3630
12320,28759,17,NC,Henderson County,828,US,35.39,-82.57,7150
12322,28761,0,NC,McDowell County,828,US,35.71,-81.93,7020
12323,28762,1,NC,McDowell County,828,US,35.63,-82.17,5790
12324,28763,0,NC,Macon County,"706, 762, 828",US,35.03,-83.47,2410
